name,market,neighborhood,cuisine,price,address,zip,url
Semkeh,New York City,Lower East Side,,?,250 Broome Street,10002,https://jsheldon-afk.github.io/cold-call-hub-3/?r=semkeh
Rakuzen,New York City,Elmhurst,,$$$,89-23 Queens Blvd,11373,https://jsheldon-afk.github.io/cold-call-hub-3/?r=rakuzen
Los Tres Potrillos,New York City,Jackson Heights,,$$,82-11 Roosevelt Ave,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=los-tres-potrillos
Selina's kitchen,New York City,Murray Hill,,$$,126 Lexington Ave,10016,https://jsheldon-afk.github.io/cold-call-hub-3/?r=selina-s-kitchen
Omakase Shihou - Upper East Side (Lunch Available),New York City,Upper East Side,,$$$$,1586 2nd Ave,10028,https://jsheldon-afk.github.io/cold-call-hub-3/?r=omakase-shihou-upper-east-side-lunch-available
Wondee Thai Curry & Noodles,New York City,Midtown West,,$$,792 9th Ave,10019,https://jsheldon-afk.github.io/cold-call-hub-3/?r=wondee-thai-curry-and-noodles
Esquina bao bun,New York City,Williamsburg,,$$,63 Grand St,11249,https://jsheldon-afk.github.io/cold-call-hub-3/?r=esquina-bao-bun
Foodance Italian Restaurant,New York City,Midtown West,,$$$,468 W 47th St,10036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=foodance-italian-restaurant
Baht formerly Arunee Thai,New York City,Jackson Heights,,$$,78-23 37th Ave,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=baht-formerly-arunee-thai
Mexique Cafe,New York City,Park Slope,,$$,655 6th Ave,11215,https://jsheldon-afk.github.io/cold-call-hub-3/?r=mexique-cafe
Anatolia Mediterranean Grill and Breakfast,Los Angeles,Fountain Valley,,$$,6522 Bolsa Ave,92647,https://jsheldon-afk.github.io/cold-call-hub-3/?r=anatolia-mediterranean-grill-and-breakfast
Eugene's Restaurant,Los Angeles,Beverly Hills,,$$$,5023 W Pico Blvd,90019,https://jsheldon-afk.github.io/cold-call-hub-3/?r=eugene-s-restaurant
Borit Gogae,Los Angeles,Koreatown,,$$$,3464 W 8th St,90005,https://jsheldon-afk.github.io/cold-call-hub-3/?r=borit-gogae
Bar Burger,New York City,Jackson Heights,,$$,85-16 Roosevelt Ave,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bar-burger
Napa Valley Grille,Los Angeles,Westwood,,$$$,1100 Glendon Ave Ste 100,90024,https://jsheldon-afk.github.io/cold-call-hub-3/?r=napa-valley-grille
J's Kitchen New York,New York City,East Village,,$$,261 1st Ave,10003,https://jsheldon-afk.github.io/cold-call-hub-3/?r=j-s-kitchen-new-york
Hanaya Omakase,New York City,Midtown West,,$$$,630 9th Ave,10036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=hanaya-omakase
WonderPho,New York City,Upper East Side,,$$,1716 1st Ave,10128,https://jsheldon-afk.github.io/cold-call-hub-3/?r=wonderpho
Bistro Casa Azul,New York City,Harlem,,$$$,343 Pleasant Ave,10035,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bistro-casa-azul
Qatar Airways Club,New York City,Park Slope,,$$$$,620 Atlantic Ave,11217,https://jsheldon-afk.github.io/cold-call-hub-3/?r=qatar-airways-club
Flatiron Steakhouse - Park Slope,New York City,Park Slope,,$$$,397 5th Ave,11215,https://jsheldon-afk.github.io/cold-call-hub-3/?r=flatiron-steakhouse-park-slope
Akinori Sushi,Los Angeles,Pasadena,,$$$,3735 E Colorado Blvd,91107,https://jsheldon-afk.github.io/cold-call-hub-3/?r=akinori-sushi
Ikyu Sushi II,New York City,Upper East Side,,$$$,1475 1st Ave,10075,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ikyu-sushi-ii
Lao Ma Tou Hot Pot,Los Angeles,Irvine,,$$$,4230 Barranca Pkwy,92604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=lao-ma-tou-hot-pot
EL COCINERITO COLOMBIANO,New York City,Jackson Heights,,$$,86-23 Roosevelt Ave,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=el-cocinerito-colombiano
bouillon NEWPORT,Los Angeles,East Bluff,,$$$,1000 Bristol St N Unit 11,92660,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bouillon-newport
Supper Club NYC,New York City,Flatiron,,$$$$,178 5th Ave,10010,https://jsheldon-afk.github.io/cold-call-hub-3/?r=supper-club-nyc
l?abeille à côté,New York City,Chinatown,,$$$$,412 Greenwich St Unit A,10013,https://jsheldon-afk.github.io/cold-call-hub-3/?r=l-abeille-c-t
A to Z Rooftop on Fifth,New York City,Murray Hill,,$$$,16 E 39th St,10016,https://jsheldon-afk.github.io/cold-call-hub-3/?r=a-to-z-rooftop-on-fifth
Harlem Pizza,New York City,Harlem,,$$$,100 W 125th St,10027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=harlem-pizza
A Side Pizza & Pasta Bar,New York City,Midtown West,,$$,754 9th Ave,10019,https://jsheldon-afk.github.io/cold-call-hub-3/?r=a-side-pizza-and-pasta-bar
Brunch,New York City,Upper West Side,,$$,2210 Broadway,10024,https://jsheldon-afk.github.io/cold-call-hub-3/?r=brunch
Ocean Bay,New York City,Elmhurst,,$$,83-02 Queens Blvd,11373,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ocean-bay
Kabukicho KTown,Los Angeles,Koreatown,,$$$$,987 S Vermont Ave,90006,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kabukicho-ktown
Cyan Izakaya,New York City,Long Island City,,$$$,42-37 27th St,11101,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cyan-izakaya
A Kitchen,New York City,Lower East Side,,$$,7 Allen St,10002,https://jsheldon-afk.github.io/cold-call-hub-3/?r=a-kitchen
Sushi by woo,New York City,Murray Hill,,$$,"167 Madison Ave, 28 E 33rd St",10016,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sushi-by-woo
Seoul N Spirits BBQ,Los Angeles,Irvine,,$$$,5305 University Dr,92612,https://jsheldon-afk.github.io/cold-call-hub-3/?r=seoul-n-spirits-bbq
cuencanito sport bar restaurants,New York City,Woodside,,$$,4761 47th St,11377,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cuencanito-sport-bar-restaurants
Marsanne,New York City,Chelsea,,$$$,233 8th Ave,10011,https://jsheldon-afk.github.io/cold-call-hub-3/?r=marsanne
Teppanyaki Madness,Los Angeles,Valley Glen,,$$,6467 Vineland Ave,91606,https://jsheldon-afk.github.io/cold-call-hub-3/?r=teppanyaki-madness
La Fogata Rest Bar,New York City,Bushwick,,$$,1549 Gates Ave,11237,https://jsheldon-afk.github.io/cold-call-hub-3/?r=la-fogata-rest-bar
Yuchun Restaurant,Los Angeles,Koreatown,,$$,3185 W Olympic Blvd,90006,https://jsheldon-afk.github.io/cold-call-hub-3/?r=yuchun-restaurant
Ikyu,New York City,Upper East Side,,$$$,1718 2nd Ave,10128,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ikyu
La Caridad 72,New York City,Upper West Side,,$$,130 W 72nd St,10023,https://jsheldon-afk.github.io/cold-call-hub-3/?r=la-caridad-72
Osakana East Village,New York City,East Village,,$$$,42 1/2 St Marks Pl,10003,https://jsheldon-afk.github.io/cold-call-hub-3/?r=osakana-east-village
Rio Bonito Grill,New York City,Astoria,,$$$,33-01 36th Ave,11106,https://jsheldon-afk.github.io/cold-call-hub-3/?r=rio-bonito-grill
Tinos,New York City,Upper East Side,,$$$,1748 1st Ave,10128,https://jsheldon-afk.github.io/cold-call-hub-3/?r=tinos
Praga Tapas Bar,New York City,Woodside,,$$$,63-10 Broadway,11377,https://jsheldon-afk.github.io/cold-call-hub-3/?r=praga-tapas-bar
NABANNO RESTAURANT,New York City,Jackson Heights,,$$,37-22 73rd St,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=nabanno-restaurant
Limena Pisco Restaurant & Bar,New York City,Sunnyside,,$$,47-14 Greenpoint Ave,11104,https://jsheldon-afk.github.io/cold-call-hub-3/?r=limena-pisco-restaurant-and-bar
Dear Rufino Taqueria & Bar,New York City,Midtown West,,$$,322 W 50th St,10019,https://jsheldon-afk.github.io/cold-call-hub-3/?r=dear-rufino-taqueria-and-bar
Acerra Brick Oven Pizza,New York City,Midtown,,$$$,142 W 49th St,10020,https://jsheldon-afk.github.io/cold-call-hub-3/?r=acerra-brick-oven-pizza
Homie's Donuts,New York City,Soho / Nolita,,?,23 Cleveland Pl,10012,https://jsheldon-afk.github.io/cold-call-hub-3/?r=homie-s-donuts
BAR V,New York City,West Village,,$$,10 Morton St,10014,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bar-v
Tsumo Omakase,New York City,Murray Hill,,$$$,132 E 28th St,10016,https://jsheldon-afk.github.io/cold-call-hub-3/?r=tsumo-omakase
Taqueria On Tenth,New York City,Chelsea,,$$$,313 10th Ave,10001,https://jsheldon-afk.github.io/cold-call-hub-3/?r=taqueria-on-tenth
Kame,New York City,Chelsea,,$$,330 8th Ave,10001,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kame
Casa Jimenez,Los Angeles,Huntington Beach,,$$,19171 Magnolia St # 6,92646,https://jsheldon-afk.github.io/cold-call-hub-3/?r=casa-jimenez
Nong Lá Vietnamese Cafe,Los Angeles,Sawtelle,,$$,2055 Sawtelle Blvd,90025,https://jsheldon-afk.github.io/cold-call-hub-3/?r=nong-l-vietnamese-cafe
White Elephant,Los Angeles,Arts District,,$$,541 S Spring St Suite 106,90013,https://jsheldon-afk.github.io/cold-call-hub-3/?r=white-elephant
Kikoo Sushi,New York City,East Village,,$$$,141 1st Ave,10003,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kikoo-sushi
White Olive,New York City,Midtown West,,$$$,39 W 55th St,10019,https://jsheldon-afk.github.io/cold-call-hub-3/?r=white-olive
albadawi,New York City,Upper East Side,,$$$,1725 2nd Ave,10128,https://jsheldon-afk.github.io/cold-call-hub-3/?r=albadawi
Osteria Delbianco Bryant Park,New York City,Midtown East,,$$$,18 E 41st St,10017,https://jsheldon-afk.github.io/cold-call-hub-3/?r=osteria-delbianco-bryant-park
Tiramisu,New York City,Upper East Side,,$$,1643 2nd Ave,10028,https://jsheldon-afk.github.io/cold-call-hub-3/?r=tiramisu
Moon BBQ#2,Los Angeles,,,$$,478 N Western Ave,90004,https://jsheldon-afk.github.io/cold-call-hub-3/?r=moon-bbq-2
Chubby Cattle BBQ | New York,New York City,,,$$$,206 Spring St,10012,https://jsheldon-afk.github.io/cold-call-hub-3/?r=chubby-cattle-bbq-new-york
Sup's Chicken,Los Angeles,Los Angeles,,?,1080 S La Cienega Blvd Ste 110,90035,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sup-s-chicken
Mama Fina's,New York City,East Village,,$$,167 Avenue A,10009,https://jsheldon-afk.github.io/cold-call-hub-3/?r=mama-fina-s
The Lobster,Los Angeles,Ocean Park,,$$$,1602 Ocean Ave,90401,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-lobster
The Grafton,New York City,East Village,,$$,126 1st Avenue,10009,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-grafton
Crossroads Kitchen,Los Angeles,West Hollywood,,$$$,8284 Melrose Ave,90046,https://jsheldon-afk.github.io/cold-call-hub-3/?r=crossroads-kitchen
Library Bar,Los Angeles,Arts District,,$$,630 W 6th St,90017,https://jsheldon-afk.github.io/cold-call-hub-3/?r=library-bar
Sandro's,New York City,Upper East Side,Italian,$$$,322 East 86th Street,10028,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sandro-s
Bohemian Spirit,New York City,Upper East Side,Czech; German,$$,321 E 73rd St,10021,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bohemian-spirit
Champignon restaurant &bar,New York City,Chelsea,,?,200 7th Avenue,10011,https://jsheldon-afk.github.io/cold-call-hub-3/?r=champignon-restaurant-and-bar
Luna Rossa,New York City,Upper East Side,Italian,$$,347 E 85th St,10028,https://jsheldon-afk.github.io/cold-call-hub-3/?r=luna-rossa
Antica Pesa,New York City,Williamsburg,Italian; Mediterranean,$$$,115 Berry St,11249,https://jsheldon-afk.github.io/cold-call-hub-3/?r=antica-pesa
Lobo,New York City,Cobble Hill,,$$,218 Court St,11201,https://jsheldon-afk.github.io/cold-call-hub-3/?r=lobo
Agnanti,New York City,Astoria,,$$,19-06 Ditmars Blvd,11105,https://jsheldon-afk.github.io/cold-call-hub-3/?r=agnanti
Stamatis,New York City,Astoria,,$$,29-09 23rd Ave,11105,https://jsheldon-afk.github.io/cold-call-hub-3/?r=stamatis
Landmark Tavern,New York City,Chelsea,,$$,626 11 Avenue,10036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=landmark-tavern
Legends NYC,New York City,Chelsea,,$$,6 West 33 Street,10001,https://jsheldon-afk.github.io/cold-call-hub-3/?r=legends-nyc
Blaggards Pub,New York City,Midtown West,,$$,8 West 38th Street,10018,https://jsheldon-afk.github.io/cold-call-hub-3/?r=blaggards-pub
La Ruana Paisa Colombian Restaurant,New York City,Astoria,,$$,9203 37th Ave,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=la-ruana-paisa-colombian-restaurant
CityBar,Washington DC,Capitol Hill,,$$,400 E St SW,20024,https://jsheldon-afk.github.io/cold-call-hub-3/?r=citybar
The Freakin Rican,New York City,Astoria,,$$,43-06 34th Avenue,11101,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-freakin-rican
Cozy Royale,New York City,Williamsburg,American,$$,434 Humboldt St,11211,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cozy-royale
Arthur and Sons,New York City,West Village,,$$$,38 8th Ave,10014,https://jsheldon-afk.github.io/cold-call-hub-3/?r=arthur-and-sons
Lady Chow Kitchen,New York City,Chinatown,,$$,171 Hester Street,10013,https://jsheldon-afk.github.io/cold-call-hub-3/?r=lady-chow-kitchen
Matsuri,New York City,Woodside,,$$,3956 61ST ST,11377,https://jsheldon-afk.github.io/cold-call-hub-3/?r=matsuri
Parrilladas Sunrise,New York City,Jackson Heights,,$$,8311 NORTHERN BLVD,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=parrilladas-sunrise
Thai Tree,New York City,Sunnyside,,$$,3617 GREENPOINT AVE,11101,https://jsheldon-afk.github.io/cold-call-hub-3/?r=thai-tree
Tangra Asian Fusion Cuisine,New York City,Sunnyside,,$$,3923 QUEENS BLVD,11104,https://jsheldon-afk.github.io/cold-call-hub-3/?r=tangra-asian-fusion-cuisine
Noodles 28,New York City,Kips Bay,,$$,417 3RD AVE,10016,https://jsheldon-afk.github.io/cold-call-hub-3/?r=noodles-28
Alauddin Sweet Meat Usa,New York City,Jackson Heights,,?,3714 73RD ST,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=alauddin-sweet-meat-usa
Kathmandu Kitchen,New York City,,,?,60-15 WOODSIDE AVE,11377,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kathmandu-kitchen
Aandg Himalayan Fresh Food / Gang Chen Bodkyi Momo,New York City,,,?,73RD ST & ROOSEVELT AVE,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=aandg-himalayan-fresh-food-gang-chen-bodkyi-momo
Ming Garden Chinese Restaurant,New York City,,,?,6308 BROADWAY,11377,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ming-garden-chinese-restaurant
Soku 1546,New York City,Bushwick,,$$,1546 Myrtle Ave,11237,https://jsheldon-afk.github.io/cold-call-hub-3/?r=soku-1546
Loco Burrito,New York City,Williamsburg,,?,345 Graham Ave,11211,https://jsheldon-afk.github.io/cold-call-hub-3/?r=loco-burrito
333 Lounge,New York City,Prospect Heights,,$$,333 Flatbush Avenue,11217,https://jsheldon-afk.github.io/cold-call-hub-3/?r=333-lounge
Aragvi,New York City,Midtown East,,$$,"230 E 44th St New York, NY 10017",10017,https://jsheldon-afk.github.io/cold-call-hub-3/?r=aragvi
Justine's on Hudson,New York City,West Village,,?,518 Hudson St,10014,https://jsheldon-afk.github.io/cold-call-hub-3/?r=justine-s-on-hudson
Muzette,Washington DC,Northwest Washington,,$$,2305 18th St NW,20009,https://jsheldon-afk.github.io/cold-call-hub-3/?r=muzette
Martin's Tavern,Washington DC,Georgetown,,$$,1264 Wisconsin Ave NW,20007,https://jsheldon-afk.github.io/cold-call-hub-3/?r=martin-s-tavern
Blues Alley Club,Washington DC,Georgetown,,$$,1073 Wisconsin Ave NW,20007,https://jsheldon-afk.github.io/cold-call-hub-3/?r=blues-alley-club
1831 Bar And Lounge,Washington DC,Dupont Circle,,$$,1831 M St NW,20036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=1831-bar-and-lounge
The Midlands Beer Garden,Washington DC,Columbia Heights,,$$,3333 Georgia Ave NW,20010,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-midlands-beer-garden
Wok and Roll Karaoke,Washington DC,Penn Quarter,,?,604 H St NW,20001,https://jsheldon-afk.github.io/cold-call-hub-3/?r=wok-and-roll-karaoke
12 Stories,Washington DC,Southwest Waterfront,,$$,75 District Sq SW,20024,https://jsheldon-afk.github.io/cold-call-hub-3/?r=12-stories
Gulp,New York City,Queens,,$$,"42-45 27th St, Queens, NY 11101, United States",11101,https://jsheldon-afk.github.io/cold-call-hub-3/?r=gulp
Don Cuco,Los Angeles,Burbank,,$$,218 E Orange Grove Ave,91502,https://jsheldon-afk.github.io/cold-call-hub-3/?r=don-cuco
NBC Sports Grill & Brew,Los Angeles,,,$$,100 Universal City Plz,91608,https://jsheldon-afk.github.io/cold-call-hub-3/?r=nbc-sports-grill-and-brew
Jjukku Jjukku BBQ,Los Angeles,Beverly Hills,,$$,3377 Wilshire Blvd,90010,https://jsheldon-afk.github.io/cold-call-hub-3/?r=jjukku-jjukku-bbq
Butcher's House Brasserie,Los Angeles,Irvine,,$$$,3321 Hyland Ave,92626,https://jsheldon-afk.github.io/cold-call-hub-3/?r=butcher-s-house-brasserie
Kitsch Bar,Los Angeles,,,$$,891 Baker St,92626,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kitsch-bar
No. 1 Chinese Food,Los Angeles,,,$$,1175 Baker St,92626,https://jsheldon-afk.github.io/cold-call-hub-3/?r=no-1-chinese-food
The Roger Room,Los Angeles,Beverly Grove,,$$,370 N La Cienega Blvd,90048,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-roger-room
Himalayan Grill,Los Angeles,Bolsa Chica-Heil,,$$,16400 Pacific Coast Hwy,92649,https://jsheldon-afk.github.io/cold-call-hub-3/?r=himalayan-grill
La Cava,Los Angeles,Sherman Oaks,,$$,13565 Ventura Blvd,91423,https://jsheldon-afk.github.io/cold-call-hub-3/?r=la-cava
Chung Ki Wa,Los Angeles,Wilshire Park,,$$,3545 W Olympic Blvd,90019,https://jsheldon-afk.github.io/cold-call-hub-3/?r=chung-ki-wa
Engine Co No 28,Los Angeles,,,$$,8 World Way,90045,https://jsheldon-afk.github.io/cold-call-hub-3/?r=engine-co-no-28
Yummy Pizza & Shawarma,Los Angeles,,,$$,13611 Sherman Way,91405,https://jsheldon-afk.github.io/cold-call-hub-3/?r=yummy-pizza-and-shawarma
Paperback Brewing Co.,Los Angeles,,,$$,422 Magnolia Ave,91204,https://jsheldon-afk.github.io/cold-call-hub-3/?r=paperback-brewing-co
Todo Verde,Los Angeles,,,?,2580 Cahuenga Blvd E,90068,https://jsheldon-afk.github.io/cold-call-hub-3/?r=todo-verde
Pho Cafe,Los Angeles,,,$$,2841 W Sunset Blvd,90026,https://jsheldon-afk.github.io/cold-call-hub-3/?r=pho-cafe
Kim Su Seafood Restaurant,Los Angeles,Midway City,,$$,10526 Bolsa Ave,92683,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kim-su-seafood-restaurant
Tomoya Sushi & Izakaya,Los Angeles,Woodland Hills,,$$,6020 Canoga Ave,91367,https://jsheldon-afk.github.io/cold-call-hub-3/?r=tomoya-sushi-and-izakaya
Vim,Los Angeles,Glendale,,$$,5132 Hollywood Blvd,90027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=vim
Toi On Sunset,Los Angeles,West Hollywood,,$$,7505 W Sunset Blvd,90046,https://jsheldon-afk.github.io/cold-call-hub-3/?r=toi-on-sunset
Kurosh Persian Restaurant,Los Angeles,,,$$,8560 Wilshire Blvd,90211,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kurosh-persian-restaurant
Ichima,Los Angeles,,,$$,325 N Rosemead Blvd,91107,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ichima
El Borrego Sagrado,Los Angeles,Santa Ana,,$$,1307 S Main St,92707,https://jsheldon-afk.github.io/cold-call-hub-3/?r=el-borrego-sagrado
Cafe Amici,Los Angeles,Beverly Hills,,$$,469 N Doheny Dr,90210,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cafe-amici
Oo Kook Korean BBQ,Los Angeles,Koreatown,,$$,3385 W 8th St,90005,https://jsheldon-afk.github.io/cold-call-hub-3/?r=oo-kook-korean-bbq
Jae Bu Do,Los Angeles,Little Bangladesh,,$$$,474 N Western Ave,90004,https://jsheldon-afk.github.io/cold-call-hub-3/?r=jae-bu-do
Umaya,Los Angeles,Koreatown,,$$,3322 Wilshire Blvd,90010,https://jsheldon-afk.github.io/cold-call-hub-3/?r=umaya
Spicy City,Los Angeles,El Camino Real,,$$,14310 Culver Dr,92604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=spicy-city
Camphor,Los Angeles,Arts District,,$$,923 E 3rd St,90013,https://jsheldon-afk.github.io/cold-call-hub-3/?r=camphor
Gingergrass,Los Angeles,Glendale,,$$,2396 Glendale Blvd,90039,https://jsheldon-afk.github.io/cold-call-hub-3/?r=gingergrass
Birrieria Don Boni,Los Angeles,Arts District,,$$,1845 E 1st St,90033,https://jsheldon-afk.github.io/cold-call-hub-3/?r=birrieria-don-boni
Factor's Famous Deli,Los Angeles,Beverly Hills,,$$,9420 W Pico Blvd,90035,https://jsheldon-afk.github.io/cold-call-hub-3/?r=factor-s-famous-deli
Potato Chips Deli,Los Angeles,,,$$,308 N Stanley Ave,90036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=potato-chips-deli
neat,Los Angeles,West Los Angeles,,$$,11780 W Pico Blvd,90064,https://jsheldon-afk.github.io/cold-call-hub-3/?r=neat
Al Forno Caffe,Los Angeles,Mesa Verde,,$$,1525 Mesa Verde Dr E,92626,https://jsheldon-afk.github.io/cold-call-hub-3/?r=al-forno-caffe
Los Arcos,Los Angeles,Mid-City,,$$,1414 W Edinger Ave,92704,https://jsheldon-afk.github.io/cold-call-hub-3/?r=los-arcos
Los Angeles Club Crawl,Los Angeles,,,?,830 S Broadway,90014,https://jsheldon-afk.github.io/cold-call-hub-3/?r=los-angeles-club-crawl
Houston's,Los Angeles,,,$$$,320 S Arroyo Pkwy,91105,https://jsheldon-afk.github.io/cold-call-hub-3/?r=houston-s
SOBOKU,New York City,Carroll Gardens,,$$,"276 Smith St, Brooklyn, NY 11231, United States",11231,https://jsheldon-afk.github.io/cold-call-hub-3/?r=soboku
Little Uluh,New York City,East Village,,?,218 E. 14th Street,10003,https://jsheldon-afk.github.io/cold-call-hub-3/?r=little-uluh
Paros,New York City,Tribeca,,$$$,211 W Broadway,10013,https://jsheldon-afk.github.io/cold-call-hub-3/?r=paros
The Lonesome Club,New York City,Windsor Terrace,,$$,1674 10th Avenue,11215,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-lonesome-club
Close Up,New York City,Lower East Side,,?,154 Orchard Street,10002,https://jsheldon-afk.github.io/cold-call-hub-3/?r=close-up
Perle Wine Bar,New York City,West Village,,?,22 Greenwich Ave,10011,https://jsheldon-afk.github.io/cold-call-hub-3/?r=perle-wine-bar
Sozai,New York City,Midtown,,$$,19 W 45th St,10036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sozai
Bouquet,New York City,Greenpoint,,?,1073 Manhattan Ave,11222,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bouquet
Sake Bar Asoko,New York City,Lower East Side,,?,127 E Broadway,10002,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sake-bar-asoko
Ha's Snack Bar,New York City,Lower East Side,,$$$,297 Broome Street,10002,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ha-s-snack-bar
Xie Bao,New York City,Hell's Kitchen,,$$,650 9th Ave,10036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=xie-bao
Hen House,New York City,Greenwood Heights,,?,"740 Fifth Avenue, 24th Street",11215,https://jsheldon-afk.github.io/cold-call-hub-3/?r=hen-house
Faarzi Nepal,New York City,Elmhurst,,?,85-35 Grand Ave,11373,https://jsheldon-afk.github.io/cold-call-hub-3/?r=faarzi-nepal
Bar Basseri,New York City,Williamsburg,,?,"225 Kent Avenue, at North First Street",11249,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bar-basseri
Sanku Maots'ai,New York City,East Village,,$$,167 1st Ave,10003,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sanku-maots-ai
Bite & Sip,New York City,East Village,,?,114 East First Street,10009,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bite-and-sip
The Sconery,New York City,Sunnyside,,?,39-39 47th Ave,11104,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-sconery
Kebabwala,New York City,Union Square,,?,124 E 14th St,10003,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kebabwala
Bolo Bolo,New York City,Cobble Hill,,?,196 Court St,11201,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bolo-bolo
Vato,New York City,Park Slope,,?,226 Seventh Ave,11215,https://jsheldon-afk.github.io/cold-call-hub-3/?r=vato
K-Slope Market,New York City,Park Slope,,?,329 9th Street,11215,https://jsheldon-afk.github.io/cold-call-hub-3/?r=k-slope-market
Hong Li Meat Market,New York City,Chinatown,,$$,124 Mott St # A,10013,https://jsheldon-afk.github.io/cold-call-hub-3/?r=hong-li-meat-market
Saang Thai,New York City,Long Island City,,$$,47-45 Vernon Blvd,11101,https://jsheldon-afk.github.io/cold-call-hub-3/?r=saang-thai
Raíces Argentinas,New York City,Park Slope,,$$$,667 5th Ave,11215,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ra-ces-argentinas
Yi Pin Chuan,Los Angeles,Koreatown,,$$$,3077 W 8th St,90005,https://jsheldon-afk.github.io/cold-call-hub-3/?r=yi-pin-chuan
Mare E Monti,Los Angeles,West Hollywood,,$$$,8731 Santa Monica Blvd,90069,https://jsheldon-afk.github.io/cold-call-hub-3/?r=mare-e-monti
El Canelazo,New York City,Jackson Heights,,$$,Roosevelt Ave,11372,https://jsheldon-afk.github.io/cold-call-hub-3/?r=el-canelazo
Little Charli,New York City,West Village,,$$$,271 Bleecker St,10014,https://jsheldon-afk.github.io/cold-call-hub-3/?r=little-charli
Sushi Sho,New York City,Midtown East,,$$$$,3 E 41st St,10017,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sushi-sho
Lundy's of Brooklyn,New York City,Carroll Gardens,,$$$,44 Beard St,11231,https://jsheldon-afk.github.io/cold-call-hub-3/?r=lundy-s-of-brooklyn
Casa Cruz Upper East Side Restaurant,New York City,Upper East Side,,$$$$,36 E 61st St,10065,https://jsheldon-afk.github.io/cold-call-hub-3/?r=casa-cruz-upper-east-side-restaurant
IL NIDO,Los Angeles,Sherman Oaks,,$$$,15466 Ventura Blvd,91403,https://jsheldon-afk.github.io/cold-call-hub-3/?r=il-nido
Zurutto Ramen,New York City,Midtown East,,$$,990 2nd Ave,10022,https://jsheldon-afk.github.io/cold-call-hub-3/?r=zurutto-ramen
Juicy Dumpling Factory,Los Angeles,Fountain Valley,,$$,6100 Warner Ave Unit 103,92647,https://jsheldon-afk.github.io/cold-call-hub-3/?r=juicy-dumpling-factory
