name,market,neighborhood,cuisine,price,address,zip,url
"FIRE Mariscos, Wings, Ribs",Los Angeles,Mid CIty,,$$,4209 W Washington Blvd,90016,https://jsheldon-afk.github.io/cold-call-hub-3/?r=fire-mariscos-wings-ribs
California Roll Factory,Los Angeles,Sawtelle,,$$,11629 Santa Monica Blvd,90025,https://jsheldon-afk.github.io/cold-call-hub-3/?r=california-roll-factory
Aki Restaurant,Los Angeles,Sawtelle,,$$,11513 CA-2,90025,https://jsheldon-afk.github.io/cold-call-hub-3/?r=aki-restaurant
Mustard Seed Cafe,Los Angeles,Los Feliz,,$$,1948 Hillhurst Ave,90027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=mustard-seed-cafe
Hollywood Thai,Los Angeles,West Hollywood,,$$,5241 Hollywood Blvd,90027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=hollywood-thai
Starfish Sushi,Los Angeles,Thai Town,,$$,1755 N Vermont Ave,90027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=starfish-sushi
Hamamori,Los Angeles,South Coast Metro,,$$$$,3333 Bear St,92626,https://jsheldon-afk.github.io/cold-call-hub-3/?r=hamamori
Shojin,Los Angeles,Culver - West,,$$$,12406 W Washington Blvd,90066,https://jsheldon-afk.github.io/cold-call-hub-3/?r=shojin
Rocco's Tavern,Los Angeles,Silver Triangle,,$$,12514 Ventura Blvd,91604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=rocco-s-tavern
Kinkan,Los Angeles,Silver Lake,,$$$,771 N Virgil Ave,90029,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kinkan
The Venue,Los Angeles,Koreatown,,$$,3470 Wilshire Blvd,90010,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-venue
El Cholo,Los Angeles,Corona Del Mar,,$$,3520 E Coast Hwy,92625,https://jsheldon-afk.github.io/cold-call-hub-3/?r=el-cholo
Annapoorna,Los Angeles,Irvine,,$$,14450 Culver Dr,92604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=annapoorna
Thai Kitchen,Los Angeles,,,$$,2000 Marengo St,90033,https://jsheldon-afk.github.io/cold-call-hub-3/?r=thai-kitchen
Chong Qing Mei Wei Szechuan Restaurant,Los Angeles,Cypress Village,,$$,5406 Walnut Ave,92604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=chong-qing-mei-wei-szechuan-restaurant
Surf Dog's Sports Grill,Los Angeles,Bolsa Chica-Heil,,$$,5932 Warner Ave,92649,https://jsheldon-afk.github.io/cold-call-hub-3/?r=surf-dog-s-sports-grill
Joey's Cafe,Los Angeles,Sunset Strip,,$$,8301 Santa Monica Blvd,90069,https://jsheldon-afk.github.io/cold-call-hub-3/?r=joey-s-cafe
Escuela Taqueria,Los Angeles,Fairfax,,$$,7450 Beverly Blvd,90036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=escuela-taqueria
Tenno Sushi,Los Angeles,Arts District,,$$,207 S Central Ave,90012,https://jsheldon-afk.github.io/cold-call-hub-3/?r=tenno-sushi
Versailles,Los Angeles,Calabasas,,$$,17410 Ventura Blvd,91316,https://jsheldon-afk.github.io/cold-call-hub-3/?r=versailles
Pizzeria Sei,Los Angeles,Pico - Robertson,,$$,8781 W Pico Blvd,90035,https://jsheldon-afk.github.io/cold-call-hub-3/?r=pizzeria-sei
Pampas Grill Churrascaria,Los Angeles,La Brea,,$$,6333 W 3rd St,90036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=pampas-grill-churrascaria
Tandoor India,Los Angeles,Westdale,,$$,2622 Pico Blvd,90405,https://jsheldon-afk.github.io/cold-call-hub-3/?r=tandoor-india
Trenta Pizza & Cucina,Los Angeles,Westside Costa Mesa,,$$,1661 Superior Ave,92627,https://jsheldon-afk.github.io/cold-call-hub-3/?r=trenta-pizza-and-cucina
Nersses Vanak,Los Angeles,Grandview,,$$,6524 San Fernando Rd,91201,https://jsheldon-afk.github.io/cold-call-hub-3/?r=nersses-vanak
Wine Lab,Los Angeles,,,$$,2937 Bristol St,92626,https://jsheldon-afk.github.io/cold-call-hub-3/?r=wine-lab
Momo's Grill,Los Angeles,Irvine,,$$,2626 Dupont Dr,92612,https://jsheldon-afk.github.io/cold-call-hub-3/?r=momo-s-grill
Miyabi Shabu,Los Angeles,Oak Creek,,$$,15435 Jeffrey Rd,92618,https://jsheldon-afk.github.io/cold-call-hub-3/?r=miyabi-shabu
Santa Buffet & Grill,Los Angeles,Santa Ana,,$$,2321 S Bristol St,92704,https://jsheldon-afk.github.io/cold-call-hub-3/?r=santa-buffet-and-grill
Stoney Point,Los Angeles,,,$$,1460 W Colorado Blvd,91105,https://jsheldon-afk.github.io/cold-call-hub-3/?r=stoney-point
Mona Lisa Cucina,Los Angeles,Yorktown,,$$,9017 Adams Ave,92646,https://jsheldon-afk.github.io/cold-call-hub-3/?r=mona-lisa-cucina
Imperial Event Venue - Banquet Hall,Los Angeles,,,?,1175 N Lake Ave,91104,https://jsheldon-afk.github.io/cold-call-hub-3/?r=imperial-event-venue-banquet-hall
Sushi Tomoki,Los Angeles,Studio City,,$$$,3791 Cahuenga Blvd,91604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sushi-tomoki
Soul Thai Kitchen & Bar,Washington DC,Dominion Hills,,$$,6035 Wilson Blvd,22205,https://jsheldon-afk.github.io/cold-call-hub-3/?r=soul-thai-kitchen-and-bar
Commodore II,New York City,Lower East Side,,$$,14 Loisaida Ave,10009,https://jsheldon-afk.github.io/cold-call-hub-3/?r=commodore-ii
Old Lightning,Los Angeles,Arlington Heights,,?,2905 W Washington Blvd,90292,https://jsheldon-afk.github.io/cold-call-hub-3/?r=old-lightning
Bar Snack,New York City,East Village,,$$,92 Second Avenue,10003,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bar-snack
Chez Fifi,New York City,Upper East Side,,?,140 E 74th St,10021,https://jsheldon-afk.github.io/cold-call-hub-3/?r=chez-fifi
Kossar's Bagels & Bialys,New York City,Upper West Side,,?,"37 West End Avenue, between West 61st and 62nd streets",10023,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kossar-s-bagels-and-bialys
Fish Shop,Washington DC,The Wharf,,?,610 Water St SW,20024,https://jsheldon-afk.github.io/cold-call-hub-3/?r=fish-shop
CAVCAS Beverly Hills,Los Angeles,Beverly Hills,,?,345 N Canon Dr,90210,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cavcas-beverly-hills
Wax Poetic,Los Angeles,,,?,3206 West Magnolia Boulevard,91505,https://jsheldon-afk.github.io/cold-call-hub-3/?r=wax-poetic
Florería Atlántico,Washington DC,Georgetown,,?,1066 Wisconsin Ave NW,20007,https://jsheldon-afk.github.io/cold-call-hub-3/?r=florer-a-atl-ntico
Wilde's,Los Angeles,Los Feliz,,?,1850 Hillhurst Ave,90027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=wilde-s
Ine,Los Angeles,Highland Park,,?,4672 York Blvd,90041,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ine
